Sr. No.,CAB Id,CAB Name,User Name,Standard,Field,Assessment Type,Contact Person,Email,Mobile,Address,State,City,Pincode,Status,Discipline/Category,Group/Activity(s),Certificate Number,Certificate Issue Date,Certificate Valid Till,Certificate Extend Date,Certificate Ammendment Date,Do Alloted,Created On
1,I-0005,Kiran Diagnostic & Research Centre,nabl00XXXXX,2022,Medical,,Ms. Monika Jain,kirandiagnosticnabl2022@gmail.com,9680144788,"0-3, Adinath Marg, Jaipur, Rajasthan-302004",Rajasthan,Jaipur,,,"MI CAB - CT,MI CAB - MRI",,MC-1074,09/10/2025,30/08/2026,,,,Jan 6 2026 2:20PM
2,M-6303,Sri Vijaya Diagnostic Centre,NABL6303,2022,Medical,,K. Murali Krishna Rao,vijayalab.palakol@gmail.com,9396955555,"11-2-19/7/D2, Journalist Colony, Palakole, West Godavari, Andhra Pradesh",Andhra Pradesh,Palakole,,,"Clinical Biochemistry,Haematology & Immunohaematology",,MC-7973,13/03/2026,12/03/2030,,,,Apr 6 2026 10:37AM
3,M-1504,PANCHASHEEL MEDICAL SERVICES PRIVATE LIMITED-LAB DIVISION,nabl000168,2022,Medical,Renewal of Accreditation,RAJA VOJJALA,drraaj@hotmail.com,9885732699,"1-1-130 TO 139, 140 TO 144, OFFICE NO 401 A & B, FOURTH FLOOR, NAVKETAN COMPLEX, CLOCK TOWER, SAROJINI DEVI ROAD (SD ROAD), SECUNDERABAD",Telangana,Hyderabad,500003,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2920,16/11/2025,15/11/2029,,18/11/2025,Shweta Sinha,May 13 2026 7:30AM
4,M-1517,"DEPARTMENT OF MICROBIOLOGY,GMERS MEDICAL COLLEGE AND HOSPITAL",nabl000194,2022,Medical,Renewal of Accreditation,Nidhi Sood,sola.microbiology@gmail.com,9429069369,"SG HIGHWAY, SOLA",Gujarat,Ahmedabad,380060,Accreditation Certificate Approved and Issued,"Molecular Testing,Microbiology & Infectious disease serology",,MC-2867,14/10/2024,13/10/2028,,,Archive Applications,May 13 2026 7:30AM
5,M-0283,"LABORATORY SERVICES, CIVIL HOSPITAL (B. J. MEDICAL COLLEGE)",nabl000222,2022,Medical,Renewal of Accreditation,Sima Bhatt,lsbjmc@gmail.com,9898462416,ASARWA,Gujarat,Ahmedabad,380016,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2873,08/07/2025,07/07/2029,,,Archive Applications,May 13 2026 7:30AM
6,M-1518,PATHGENE HEALTH CARE PVT LTD,nabl000279,2022,Medical,Renewal of Accreditation,SYED RAHAMATHULLA,syedrahamathullabio@gmail.com,9966991940,"#1-212, 2ND FLOOR, SRINIVASAPURAM, TIRUCHANOOR ROAD",Andhra Pradesh,Tirupati,517501,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Testing",--Select Group--,MC-6622,26/08/2025,20/06/2026,,29/08/2025,Archive Applications,May 13 2026 7:30AM
7,M-1527,SABOO DIAGNOSTICS,nabl000338,2022,Medical,Renewal of Accreditation,SANDEEP R SABOO,deep5870@gmail.com,9849452520,"14-7-24/27, BEGUM BAZAR",Telangana,Hyderabad,500012,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-7433,13/06/2025,12/06/2029,,,Archive Applications,May 13 2026 7:30AM
8,M-1540,GLOCAL HOSPITAL LABORATORY DIVISION,nabl000452,2022,Medical,Renewal of Accreditation,Vijay Kumar Jha,bh-bgsr@glocal.healthcare,8210892916,"GLOCAL HOSPITAL, NH 31, SUSHIL NAGAR CHOWK",Bihar,Begusarai,851134,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6965,13/11/2024,12/11/2028,,,Archive Applications,May 13 2026 7:30AM
9,M-1623,"DEPARTMENT OF LABORATORY SERVICES, SRI SANKARADEVA NETHRALAYA, SRI KANCHI SANKARA HEALTH AND EDUCATIONAL FOUNDATION",nabl000521,2022,Medical,Renewal of Accreditation,KRISHNA GOGOI,ssnlabghy@gmail.com,9864015831,"96, BASISTHA ROAD",Assam,Guwahati,781028,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Molecular Diagnostics,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-6244,04/01/2026,03/01/2030,,16/01/2026,Shweta Sinha,May 13 2026 7:30AM
10,M-1541,"DEPARTMENT OF LAB MEDICINE, ALCHEMIST DIAGNOSTIC CENTRE, A UNIT OF ALCHEMIST HOSPITALS Limited",nabl000562,2022,Medical,Renewal of Accreditation,Vineeta Sood,vineeta199@gmail.com,9417184300,"SCO 99, SECTOR 21",Haryana,Panchkula,134112,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-6137,21/11/2025,20/11/2029,,,Shweta Sinha,May 13 2026 7:30AM
11,M-1553,MATRIX- UNIT OF APACE IMAGING AND DIAGNOSTIC CENTRE PVT. LTD.,nabl000581,2022,Medical,Renewal of Accreditation,Tutumoni Das,matrixlabghy@gmail.com,8638232847,"NEXIA PARK, CHRISTIAN BASTI",Assam,Guwahati,781005,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-6594,13/06/2024,12/06/2026,,,Archive Applications,May 13 2026 7:30AM
12,M-1550,"DEPARTMENT OF LABORATORY SERVICES, JABALPUR HOSPITAL AND RESEARCH CENTER",nabl000583,2022,Medical,Renewal of Accreditation,Namrata Seth,JHRCPATHLAB@GMAIL.COM,8839256492,837 NAPIER TOWN RUSSEL CROSSING,Madhya Pradesh,Jabalpur,482002,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Haematology & Immunohaematology",,MC-3015,08/04/2026,07/04/2030,,,Archive Applications,May 13 2026 7:30AM
13,M-0484,PATHOLOGY LABORATORY - NARINDER MOHAN HOSPITAL & HEART CENTRE,nabl000665,2022,Medical,Renewal of Accreditation,MANOJ KUMAR,manojkripi@gmail.com,9818763794,"PLOT NO: 16-17, GT ROAD, MOHAN NAGAR",Uttar Pradesh,Ghaziabad,201007,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2273,16/08/2025,15/08/2029,,,Archive Applications,May 13 2026 7:30AM
14,M-0035,"CENTRAL LABORATORY, SYNGENE INTERNATIONAL LIMITED",nabl000707,2022,Medical,Renewal of Accreditation,Mahathevan Pillai,mahathevan.pillai@syngeneintl.com,8105572838,"TOWER-1, SEMICON PARK, ELECTRONIC CITY PHASE-II, HOSUR ROAD",Karnataka,Bengaluru,560100,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Clinical Pathology,Microbiology & Infectious disease serology,Haematology & Immunohaematology",,MC-3124,03/02/2026,02/02/2030,,02/03/2026,Gayathri S,May 13 2026 7:30AM
15,M-1197,DR GIRIJAS DIAGNOSTIC LABS AND SCANS LLP,nabl000721,2022,Medical,Renewal of Accreditation,Deepa K Nair,girijasnabl@gmail.com,9663917947,MAK'S COMPLEX,Kerala,Attingal,695101,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Haematology,Clinical Pathology",,MC-5689,26/05/2025,25/05/2029,,28/05/2025,Archive Applications,May 13 2026 7:30AM
16,M-0357,"DEPARTMENT OF LAB SCIENCES, RAJIV GANDHI CANCER INSTITUTE AND RESEARCH CENTRE (A UNIT OF INDRAPRASTHA CANCER SOCIETY AND RESEARCH CENTRE)",nabl000722,2022,Medical,Renewal of Accreditation,ADITI GUPTA,gupta.aditi@rgcirc.org,9560102638,"BLOCK A, BASEMENT, PLOT NO D-18, SECTOR 5, ROHINI INSTITUTIONAL AREA, NORTH WEST",Delhi,Delhi,110085,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Cytogenetics,Haematology,Histopathology,Clinical Pathology,Flow Cytometry,Microbiology & Infectious disease serology",",--Select Group--",MC-2143,06/05/2025,05/05/2029,,,Archive Applications,May 13 2026 7:30AM
17,M-0130,CITY X RAY & SCAN CLINIC PRIVATE lIMITED,nabl000802,2022,Medical,Renewal of Accreditation,Asha Kalra,drkapoor.city@gmail.com,8800999400,"5A/34, TILAK NAGAR",Delhi,New Delhi,110018,Accreditation Certificate Approved and Issued,"Clinical Biochemistry,Cytopathology,Molecular Testing,Haematology,Histopathology,Clinical Pathology,Microbiology & Infectious disease serology",,MC-2459,28/12/2025,27/12/2029,,,Archive Applications,May 13 2026 7:30AM
